weight[g],pwm,vbat[V],rpm1,rpm2,rpm3,rpm4,v[V],i[A],p[W]
0,5000,3.948,1526,1343,1226,1271,0,0,0
0,5000,3.948,1005,1186,1226,1271,0,0,0
0,5000,3.948,1005,1186,1226,2338,0,0,0
0,5000,3.953,1627,1724,708,1644,0,0,0
0,5000,3.953,1905,1955,708,1644,0,0,0
0,5000,3.953,2067,1955,1075,1888,0,0,0
0,5000,3.953,2067,2098,1075,2037,0,0,0
0,5000,3.953,2139,2130,1619,2037,0,0,0
0,5000,3.958,2083,2130,1619,2085,0,0,0
0,5000,3.958,2083,2045,1850,2018,0,0,0
0,5000,3.958,1977,1946,1989,2018,0,0,0
0,5000,3.958,1897,1946,1989,1924,0,0,0
0,5000,3.958,1897,1874,2009,1855,0,0,0
0,5000,3.958,1839,1874,1929,1855,0,0,0
0,5000,3.958,1839,1824,1929,1804,0,0,0
0,5000,3.958,1800,1788,1848,1804,0,0,0
0,5000,3.958,1800,1788,1848,1768,0,0,0
0,5000,3.958,1773,1763,1787,1768,0,0,0
0,5000,3.958,1755,1763,1744,1745,0,0,0
0,5000,3.958,1755,1746,1744,1729,0,0,0
0,5000,3.958,1744,1736,1714,1729,0,0,0
0,5000,3.958,1744,1736,1714,1718,0,0,0
0,5000,3.958,1736,1728,1693,1718,0,0,0
0,5000,3.958,1731,1728,1693,1711,0,0,0
0,5000,3.958,1731,1722,1678,1711,0,0,0
0,5000,3.958,1728,1722,1666,1706,0,0,0
0,5000,3.958,1728,1719,1666,1703,0,0,0
0,5000,3.958,1724,1717,1658,1703,0,0,0
0,5000,3.958,1724,1717,1658,1700,0,0,0
0,5000,3.958,1723,1716,1653,1700,0,0,0
0,5000,3.958,1723,1716,1653,1698,0,0,0
0,5000,3.958,1723,1715,1650,1698,0,0,0
0,5000,3.958,1722,1715,1650,1698,0,0,0
0,5000,3.958,1722,1714,1649,1698,0,0,0
0,5000,3.958,1720,1714,1649,1698,0,0,0
0,5000,3.958,1720,1714,1648,1698,0,0,0
0,5000,3.958,1720,1714,1646,1698,0,0,0
0,5000,3.958,1720,1714,1646,1699,0,0,0
0,5000,3.958,1720,1713,1645,1699,0,0,0
0,5000,3.958,1720,1713,1645,1698,0,0,0
0,5000,3.958,1720,1713,1644,1698,0,0,0
0,5000,3.958,1720,1712,1644,1698,0,0,0
0,5000,3.958,1720,1712,1643,1698,0,0,0
0,5000,3.958,1721,1712,1643,1698,0,0,0
0,5000,3.958,1720,1712,1642,1698,0,0,0
0,5000,3.958,1720,1713,1643,1698,0,0,0
0,5000,3.958,1719,1713,1643,1697,0,0,0
0,5000,3.958,1719,1712,1642,1697,0,0,0
0,5000,3.958,1720,1711,1642,1698,0,0,0
0,5000,3.958,1720,1711,1641,1698,0,0,0
0,5000,3.958,1721,1712,1641,1698,0,0,0
0,5000,3.958,1720,1712,1640,1697,0,0,0
0,5000,3.958,1720,1713,1640,1697,0,0,0
0,5000,3.958,1719,1713,1639,1697,0,0,0
0,5000,3.958,1719,1713,1639,1697,0,0,0
0,5000,3.958,1720,1713,1639,1697,0,0,0
0,5000,3.958,1720,1713,1639,1697,0,0,0
0,5000,3.958,1720,1713,1639,1697,0,0,0
0,5000,3.958,1720,1713,1639,1697,0,0,0
0,5000,3.958,1720,1714,1639,1697,0,0,0
0,5000,3.958,1720,1714,1640,1696,0,0,0
0,5000,3.958,1720,1715,1640,1696,0,0,0
0,5000,3.958,1719,1715,1639,1696,0,0,0
0,5000,3.958,1719,1715,1639,1696,0,0,0
0,5000,3.958,1719,1715,1638,1696,0,0,0
0,5000,3.958,1719,1715,1638,1695,0,0,0
0,5000,3.958,1719,1714,1639,1695,0,0,0
0,5000,3.958,1719,1714,1639,1696,0,0,0
0,5000,3.958,1719,1714,1639,1696,0,0,0
0,5000,3.958,1721,1714,1640,1697,0,0,0
