weight[g],pwm,vbat[V],rpm1,rpm2,rpm3,rpm4,v[V],i[A],p[W]
0,5000,3.953,1998,2998,2999,0,0,0,0
0,5000,3.953,1998,2998,2998,0,0,0,0
0,5000,3.953,1998,2999,2999,0,0,0,0
0,5000,3.953,1998,2999,2999,0,0,0,0
0,5000,3.953,1998,2999,2999,0,0,0,0
0,5000,3.953,1998,2999,2999,0,0,0,0
0,5000,3.953,1998,2999,3000,0,0,0,0
0,5000,3.953,1998,2998,2998,0,0,0,0
0,5000,3.953,1998,2999,2997,0,0,0,0
0,5000,3.953,1998,2999,2999,0,0,0,0
0,5000,3.953,1998,2998,2999,0,0,0,0
0,5000,3.953,1998,2999,2999,0,0,0,0
0,5000,3.932,1803,2999,2999,0,0,0,0
0,5000,3.9,1803,2999,2998,0,0,0,0
0,5000,3.895,1803,2999,2999,0,0,0,0
0,5000,3.895,1216,2999,2999,0,0,0,0
0,5000,3.895,1676,5998,3000,0,0,0,0
0,5000,3.9,2375,4466,2999,0,0,0,0
0,5000,3.9,2193,4711,2998,0,0,0,0
0,5000,3.895,2193,5386,3748,0,0,0,0
0,5000,3.9,2193,6440,5995,0,0,0,0
0,5000,3.9,1712,7038,3978,0,0,0,0
0,5000,3.906,1712,6887,4336,785,0,0,0
0,5000,3.906,1465,6368,5436,785,0,0,0
0,5000,3.916,4398,6043,6432,961,0,0,0
0,5000,3.916,5772,5689,6950,2108,0,0,0
0,5000,3.927,6548,5510,6629,2438,0,0,0
0,5000,3.927,5522,5254,6276,3063,0,0,0
0,5000,3.937,3115,5139,5862,3312,0,0,0
0,5000,3.943,2940,5998,5619,3209,0,0,0
0,5000,3.948,5401,4864,5432,3013,0,0,0
0,5000,3.948,5270,4975,5296,2854,0,0,0
0,5000,3.943,5117,4751,5166,2729,0,0,0
0,5000,3.943,3450,4718,5997,2729,0,0,0
0,5000,3.943,3450,5998,5997,2621,0,0,0
0,5000,3.943,4758,4614,5004,2529,0,0,0
0,5000,3.948,5061,4611,4944,2455,0,0,0
0,5000,3.948,4793,4532,4889,2395,0,0,0
0,5000,3.943,3544,5997,6000,2395,0,0,0
0,5000,3.943,3544,4489,5995,2345,0,0,0
0,5000,3.948,4583,4544,4810,2306,0,0,0
0,5000,3.943,4842,4509,4805,2278,0,0,0
0,5000,3.943,3917,5997,4767,2278,0,0,0
0,5000,3.943,3917,4430,6002,2255,0,0,0
0,5000,3.943,2325,4502,5993,2234,0,0,0
0,5000,3.943,2316,4429,4741,2217,0,0,0
0,5000,3.943,4626,5997,4744,2217,0,0,0
0,5000,3.943,3473,4468,4718,2206,0,0,0
0,5000,3.943,3473,4411,5997,2198,0,0,0
0,5000,3.943,2298,4456,5997,2194,0,0,0
0,5000,3.943,4562,5997,4712,2194,0,0,0
0,5000,3.943,3643,4398,4721,2189,0,0,0
0,5000,3.943,3643,4444,4703,2185,0,0,0
0,5000,3.943,4428,5998,5995,2181,0,0,0
0,5000,3.943,4713,5998,5997,2181,0,0,0
0,5000,3.943,3766,5112,4853,2180,0,0,0
0,5000,3.943,3766,4377,4714,2179,0,0,0
0,5000,3.943,2278,5996,5997,2179,0,0,0
0,5000,3.943,4548,5999,5997,2173,0,0,0
0,5000,3.948,3914,4725,4703,2168,0,0,0
0,5000,3.943,3914,4424,4694,2165,0,0,0
0,5000,3.943,2278,5996,4707,2165,0,0,0
0,5000,3.943,2276,4345,5998,2153,0,0,0
0,5000,3.943,2276,4435,5997,2168,0,0,0
0,5000,3.943,2276,4366,5144,2181,0,0,0
0,5000,3.943,2274,5998,4687,2181,0,0,0
0,5000,3.943,2275,4407,4696,2168,0,0,0
0,5000,3.943,2277,4363,5997,2169,0,0,0
0,5000,3.943,2277,5997,4666,2169,0,0,0
0,5000,3.943,2274,5998,4725,2168,0,0,0
0,5000,3.943,2274,4990,4684,2167,0,0,0
0,5000,3.943,4537,4401,5998,2166,0,0,0
0,5000,3.943,4557,5997,5997,2166,0,0,0
0,5000,3.943,5998,5998,4680,2166,0,0,0
0,5000,3.943,4522,4600,4702,2164,0,0,0
0,5000,3.943,4553,4358,4687,2164,0,0,0
0,5000,3.943,4520,6000,6000,2163,0,0,0
0,5000,3.943,5997,4401,5995,2164,0,0,0
0,5000,3.943,4531,4353,4885,2163,0,0,0
0,5000,3.943,4540,5998,4696,2163,0,0,0
0,5000,3.943,3639,5998,6000,2154,0,0,0
0,5000,3.943,3639,4345,5996,2171,0,0,0
0,5000,3.943,2245,4386,4696,2171,0,0,0
0,5000,3.943,4644,5997,4682,2181,0,0,0
0,5000,3.943,3701,5997,4700,2164,0,0,0
0,5000,3.943,3701,4691,5997,2164,0,0,0
0,5000,3.943,2264,4347,5997,2164,0,0,0
0,5000,3.943,4514,5998,4691,2164,0,0,0
0,5000,3.943,3775,4387,4677,2166,0,0,0
0,5000,3.943,3775,4335,4689,2168,0,0,0
0,5000,3.943,2264,5999,5997,2168,0,0,0
0,5000,3.943,4536,5998,4676,2166,0,0,0
0,5000,3.943,3817,4335,4688,2164,0,0,0
0,5000,3.943,3817,4373,4678,2164,0,0,0
0,5000,3.943,2262,5997,5995,2166,0,0,0
0,5000,3.943,4507,5998,6000,2166,0,0,0
0,5000,3.943,3890,4642,4668,2166,0,0,0
0,5000,3.943,3890,4323,4686,2166,0,0,0
0,5000,3.943,4118,5998,4676,2148,0,0,0
0,5000,3.943,5009,4367,5992,2162,0,0,0
0,5000,3.943,3934,4321,4642,2162,0,0,0
0,5000,3.943,3934,5997,4696,2177,0,0,0
0,5000,3.943,2261,5998,4669,2160,0,0,0
0,5000,3.943,4495,4983,6004,2160,0,0,0
0,5000,3.943,3997,4364,5991,2160,0,0,0
0,5000,3.943,3303,5998,4652,2158,0,0,0
0,5000,3.943,4501,5993,4620,2158,0,0,0
