pwm,vbat[V],rpm1,rpm2,rpm3,rpm4
46587,3.367,18720,19138,19230,19900
46587,3.362,18552,19023,19126,19834
46587,3.357,18645,18927,19083,19801
46587,3.351,18645,18785,19169,19691
46587,3.346,18662,18662,18861,19672
21650,3.615,11567,11664,11668,11734
21650,3.615,11459,11657,11589,11661
21650,3.615,11500,11702,11614,11714
21650,3.615,11509,11639,11630,11734
21650,3.621,11454,11562,11650,11727
30235,3.536,14144,14374,14350,14295
30235,3.536,14061,14350,14251,14378
30235,3.536,14181,14340,14357,14282
30235,3.531,14144,14364,14272,14357
30235,3.531,14144,14450,14391,14391
12792,3.684,8289,8381,8416,8392
12792,3.684,8200,8220,8371,8173
12792,3.689,8125,8257,8430,8206
12792,3.689,8127,8282,8334,8219
12792,3.689,8141,8278,8405,8210
36821,3.468,15723,16055,16282,15818
36821,3.468,15735,15974,16203,15702
36821,3.462,15801,16124,16146,15723
36821,3.457,15864,16098,16124,15748
36821,3.457,15889,15953,15932,15673
57167,3.135,21520,21551,21969,22735
57167,3.13,21613,21451,21826,22404
57167,3.13,21668,21291,22034,22181
57167,3.124,21489,21261,21754,22018
57167,3.119,21489,21119,21652,22042
60554,3.051,22246,21857,22581,22701
60554,3.045,22189,21707,22421,22658
60554,3.04,22099,21676,22446,22530
60554,3.035,22148,21731,22446,22556
60554,3.035,22123,21723,22404,22522
38078,3.388,16137,16211,16339,15894
38078,3.394,16189,16264,16335,15873
38078,3.399,16094,16313,16260,15898
38078,3.399,16146,16299,16295,15902
38078,3.404,16094,16322,16353,15873
16548,3.605,9726,9746,9760,9765
16548,3.61,9688,9675,9688,9696
16548,3.615,9660,9693,9727,9674
16548,3.621,9646,9713,9803,9691
16548,3.626,9655,9615,9848,9685
52980,3.209,20359,20442,20811,21489
52980,3.204,20380,20270,20597,21314
52980,3.198,20359,20188,20526,21164
52980,3.198,20422,20087,20590,21119
52980,3.193,20270,20093,20463,21023
0,3.695,3680,3413,3736,3685
0,3.7,1088,986,1255,1203
0,3.705,0,0,0,0
