pwm,vbat[V],rpm1,rpm2,rpm3,rpm4,thrust[g]
64861,3.452,23328,23228,23282,22918,97
51669,3.621,20053,20087,20283,19933,71
33464,3.837,14825,14774,14966,14785,38
53368,3.573,20352,20422,20639,20113,73
25854,3.869,12461,12448,12515,12302,26
34979,3.811,15345,15220,15364,15094,39
21051,3.911,10750,10679,10764,10585,19
43857,3.705,17873,17878,17735,17569,55
59230,3.452,21645,21629,21849,21246,83
40808,3.695,16806,16811,16694,16528,48
32216,3.779,14326,14282,14398,14245,35
38220,3.737,16055,16017,16094,15906,44
48211,3.6,19023,18933,19059,18484,62
50865,3.541,19614,19575,19847,19150,67
31398,3.753,14015,14044,14275,13866,33
27754,3.79,13046,12889,12995,12757,28
57991,3.425,21668,21178,21149,20855,79
44631,3.6,17590,17735,17508,17386,54
37317,3.684,15649,15540,15527,15368,41
64426,3.288,22514,22313,22189,21849,89
32887,3.689,14201,14245,14285,14035,34
30246,3.721,13633,13553,13815,13345,31
42471,3.615,17123,17026,16783,16764,50
36398,3.673,15232,15255,15337,15232,40
63407,3.288,22091,21969,22156,21754,86
51601,3.452,19411,19354,19367,19144,65
59800,3.304,21067,21134,20913,20696,79
43728,3.531,17137,17206,17381,16802,50
50894,3.441,19181,18963,19096,18755,63
48659,3.468,18564,18535,18507,18154,59
39875,3.578,16094,15995,15822,15576,44
50127,3.452,18999,18832,19108,18529,62
59100,3.304,21141,20898,20746,20456,77
61157,3.246,21261,20964,21459,20790,78
44244,3.489,17396,17128,16896,16797,50
59392,3.278,20869,20782,20833,20463,76
21528,3.673,10420,10263,10452,10176,17
60584,3.267,21149,21178,20790,20761,79
57515,3.299,21030,20422,20725,20060,73
45571,3.462,17528,17564,17814,17167,52
22949,3.658,10907,10824,11025,10720,19
31303,3.621,13742,13537,13840,13404,31
55782,3.346,20345,20168,20449,19697,71
51312,3.388,19430,18927,19193,18662,63
31978,3.594,13911,13620,13872,13583,32
55872,3.325,20188,20013,20283,19749,70
44852,3.462,17241,17246,17226,16920,51
49699,3.399,18610,18450,18529,18115,59
33484,3.573,14144,13972,14248,13844,34
55918,3.309,20006,20006,19788,19854,70
25104,3.621,11518,11525,11801,11400,22
64627,3.167,21762,21660,21770,21269,84
45606,3.431,17336,17336,17621,17089,51
55303,3.293,19854,19834,19646,19404,67
34628,3.541,14364,14265,14241,14147,34
58814,3.241,20477,20325,20297,20208,73
34822,3.536,14423,14275,14388,14120,35
42144,3.468,16465,16393,16211,16090,46
20517,3.642,9933,9765,9892,9647,16
34405,3.557,14440,14197,14391,14048,35
23363,3.631,11007,10820,10907,10791,20
33847,3.563,14170,14074,14094,13943,34
65062,3.14,21770,21715,21699,21390,84
40116,3.473,15475,15731,15818,15325,42
25045,3.594,11565,11450,11578,11293,22
22368,3.626,10768,10443,10544,10375,18
43554,3.446,16802,16717,16930,16574,48
31698,3.557,13544,13492,13446,13336,31
50442,3.346,18616,18501,18535,18220,59
30167,3.552,13054,13003,12958,12861,29
42286,3.441,16556,16255,16415,16077,46
37558,3.494,15022,14929,15064,14763,38
