pwm,vbat[V],rpm1,rpm2,rpm3,rpm4,thrust[g]
27717,3.943,17059,17391,17331,17351,17
59675,3.673,29615,29925,30060,30015,59
25505,3.911,16068,16260,16286,16189,16
58690,3.658,29168,29296,29382,29339,56
59094,3.636,29126,29296,29339,29339,56
64290,3.547,30991,31007,31055,31185,63
27925,3.832,16915,17147,17182,17162,18
20871,3.879,14184,14268,14475,14360,12
47630,3.737,24390,24580,24701,24610,38
63169,3.557,30565,30659,30643,30706,61
36012,3.774,19828,20013,19986,20087,24
53898,3.652,26893,27051,26966,27075,46
40974,3.737,21582,21684,21684,21849,29
39702,3.747,21126,21284,21306,21352,28
47390,3.695,24067,24301,24311,24340,37
37247,3.753,20127,20195,20338,20338,25
41813,3.731,21707,21802,21945,22148,29
28663,3.795,16987,17147,17301,17346,18
60674,3.557,29469,29688,29688,29688,57
38718,3.726,20639,20739,20898,20949,27
65058,3.499,30627,30769,30753,30832,62
29423,3.753,17226,17406,17472,17436,18
45498,3.679,23059,23310,23328,23300,34
47218,3.663,23668,23952,23980,23904,36
38703,3.71,20359,20790,20654,20782,27
20425,3.795,13670,13815,14012,13982,11
46625,3.668,23464,23837,23828,23837,35
48617,3.647,24164,24459,24459,24420,38
42381,3.684,21520,22050,22050,22099,30
61491,3.51,29382,29821,29732,29688,57
45771,3.642,22787,23355,23237,23210,34
21232,3.763,13892,14164,14174,14051,12
50297,3.621,24772,25273,25146,25115,40
64760,3.462,30287,30534,30612,30674,61
42145,3.647,21520,21849,21818,21881,29
31158,3.705,17513,18077,17910,18001,19
20296,3.758,13531,13972,13729,13895,11
28805,3.731,16830,17276,17094,17182,18
52100,3.594,25531,25873,25740,25728,42
59530,3.504,28328,28694,28666,28694,53
41822,3.636,21261,21598,21398,21676,29
45554,3.621,22505,22944,22865,22944,33
57700,3.515,27611,27777,27803,27958,50
65126,3.425,30060,30241,30150,30379,60
27923,3.679,16406,16671,16602,16797,17
21070,3.721,13786,14104,14054,14134,12
33470,3.679,18387,18850,18593,18820,21
38795,3.652,20229,20526,20547,20380,26
60140,3.483,28530,28776,28749,28832,53
52886,3.541,25466,25795,25695,25940,43
36914,3.636,19455,19749,19749,19900,24
65039,3.42,30015,30241,30333,30410,59
45433,3.578,22471,22779,22710,22761,32
52434,3.531,25083,25466,25402,25499,42
59271,3.462,27919,28208,28248,28288,51
41848,3.589,20949,21201,21201,21459,28
52502,3.52,25052,25434,25434,25531,41
32452,3.636,17688,18099,18028,18198,20
50318,3.541,24067,24580,24549,24580,28
30962,3.642,17103,17371,17605,17615,19
54395,3.51,25940,26143,25940,26178,44
55955,3.483,26642,26785,26327,26726,46
27656,3.642,16176,16268,16255,16447,16
62854,3.409,29296,29556,29469,29556,57
40055,3.578,20449,20512,20422,20540,27
60060,3.436,28208,28328,28208,28409,52
22213,3.647,13992,14204,14234,14245,13
58782,3.446,27573,27932,27700,27894,49
44711,3.552,21873,22321,21849,22288,31
33092,3.605,17947,18382,18148,18331,20
50150,3.52,23923,24420,23856,24301,37
35311,3.6,18593,18969,18662,19041,22
44377,3.557,21707,21969,21637,21978,30
56403,3.462,26678,26978,26362,26893,46
47340,3.526,22918,23192,22573,23023,34
56823,3.452,26714,27051,26258,26929,46
62301,3.383,28776,29211,28708,28999,54
24263,3.615,14691,14925,14925,15018,14
57794,3.436,27088,27422,26929,27309,47
55296,3.452,26143,26536,25951,26362,44
54312,3.452,25564,25940,25445,25806,38
51327,3.478,24311,24610,24125,24479,32
46025,3.515,22115,22632,21873,22296,19
31549,3.589,17241,17533,17316,17543,11
20311,3.636,13114,13559,13303,13309,8
43823,3.541,21451,21929,21352,21582,39
59244,3.415,27573,27803,27223,27803,49
33038,3.573,17814,18159,17883,18110,20
62443,3.373,28708,29041,28666,28943,54
60736,3.378,28011,28208,28050,28248,51
50753,3.462,24067,24420,24096,24164,38
34468,3.557,18198,18541,18433,18472,21
24282,3.605,14616,14906,14713,14771,14
59991,3.394,27919,28089,27688,28011,51
27587,3.584,15953,16021,15940,16047,16
33647,3.568,18115,18181,18176,18393,20
27735,3.594,16098,16059,16017,16181,16
48593,3.494,23373,23410,23192,23373,35
27259,3.589,15944,15831,15752,15915,16
56989,3.42,26678,26785,26572,26881,43
54060,3.431,25445,25673,25210,25630,42
55660,3.409,25862,26212,25929,26109,44
39340,3.515,19782,20026,19841,19887,25
23542,3.589,14285,14538,14443,14605,13
40858,3.52,20277,20639,20236,20512,26
52688,3.441,24640,25146,24701,24732,40
27630,3.573,15698,15982,15915,15940,16
60445,3.357,27649,28129,27894,27998,51
54149,3.409,25115,25564,25210,25337,42
23810,3.573,14464,14584,14648,14662,14
21361,3.594,13510,13683,13739,13698,12
22847,3.594,14021,14381,14319,14275,13
60270,3.362,27611,27919,27573,27816,51
59296,3.346,27272,27459,27173,27422,48
21665,3.568,13617,13670,13796,13802,12
63432,3.288,28653,28957,28832,28873,55
27404,3.541,15723,15995,15777,15710,16
55898,3.367,25906,26075,25839,25906,44
64381,3.246,28749,29168,28999,28901,55
53013,3.367,24640,24793,24671,24610,39
39737,3.462,19723,20026,19769,19782,25
